4/15/22 2:19:20 PM | rory | https://open.spotify.com/album/3vwhMjwukv3LNZpQu57RWR?si=IWiqUnd7Rmy9uYJXQ05EGw&utm_source=whatsapp | album
4/22/22 11:54:43 AM | ferg | https://open.spotify.com/album/60K7Tx7v8wcxHDukKBMfff?si=Hh3j-g7IR5aqUDUjuRqMyg | album
4/22/22 1:24:21 PM | neil | https://open.spotify.com/album/6hKv02LMnFct06BNfpLgRf?si=UNirTJwWQcCBJcDO1dLwLg&utm_source=whatsapp | album
4/29/22 9:32:16 AM | ferg | https://open.spotify.com/album/33daQkvkB92gQPxu4O4ukC?si=Nh6uXeSmQWGsFwVXuB-2dQ | album
4/29/22 9:59:46 AM | neil | https://open.spotify.com/album/2s0DBzv3BnRTV5PIKjtupD?si=DTBLw2ibQjeUDlnmx8YyBQ&utm_source=whatsapp | album
4/29/22 10:01:22 AM | dave | https://open.spotify.com/album/4ysy6umDtSHhJ84ebHElVu?si=qNNQMURET2-RCU8SsGPfzw | album
4/29/22 10:25:00 AM | rory | https://open.spotify.com/album/6NlU7ZtjDMNSEfxfjzDnwL?si=iF77m8-qRnWSfsqgy0321Q&utm_source=whatsapp | album
5/6/22 9:03:26 AM | rory | https://open.spotify.com/album/5OEum65e1HMGX51Ifu51Wb?si=WbvoxLPNSXSx0TRr0zn15Q&utm_source=whatsapp | album
5/9/22 4:56:47 AM | ferg | https://open.spotify.com/album/65AvOIFyBJPxQorC6c2gW8?si=YsQBkwFBQGGLHadWFwKiLw | album
5/13/22 11:07:34 AM | dave | https://open.spotify.com/album/3W6zrS9uUbsDtX26ZzsHvE?si=BQB23_SETTG8ZLrKJCAWvw | album
5/13/22 11:09:05 AM | ferg | https://open.spotify.com/album/2sAePf08xIp4tnDlMUCV8B?si=iATHdNd7T5SBDCC4L8ie8Q | album
5/13/22 11:48:43 AM | neil | https://open.spotify.com/album/009EjjwUjtdjvH7UP0wHzi?si=TZ8xHS0vSXm3sIKQSVsWRg&utm_source=whatsapp | album
5/13/22 12:34:02 PM | rory | https://open.spotify.com/album/4pFPIHBK3YjY7mcFt0seqi?si=sE6zybqYQLShFK3gXIWMcA&utm_source=whatsapp | album
5/13/22 12:44:55 PM | dave | https://open.spotify.com/album/4ohh1zQ4yybSK9FS7LLyDE?si=-tjitsyLQWmHLrw4FNZysw | album
5/13/22 12:46:11 PM | ferg | https://open.spotify.com/album/7LLyQJzyD56Avzk3uFzKUk?si=Gk8R9K8gT16yQS222DhjVA | album
5/13/22 12:47:24 PM | neil | https://open.spotify.com/album/6o38CdD7CUlZDCFhjZYLDH?si=WUetruucQ3SakS_z6OfV3Q&utm_source=whatsapp | album
5/17/22 4:18:05 AM | rory | https://open.spotify.com/album/1G5OaCbp7Tb0YJlSInBeYu?si=ioCzDzDLRWGLLpmf_2N72g&utm_source=whatsapp | album
5/20/22 5:36:16 PM | ferg | https://open.spotify.com/album/0EAvEtr7fMd70XgVnKYW0j?si=_wbFI-03R_a8OKgs10eafg | album
5/20/22 5:57:21 PM | rory | https://open.spotify.com/album/6Fhnezpt7TKojq1ufkZ5qA?si=rf-vJPsvRKuqJdbyitXNmA&utm_source=whatsapp | album
5/20/22 6:35:17 PM | dave | https://open.spotify.com/album/3J9a9IUBPJL3WhkC86mCw1?si=cGJy0jLFTtGRMFA0TfZ1aA | album
5/27/22 11:08:23 AM | neil | https://open.spotify.com/album/010ChWRwoNucuemfUfJF5T?si=X4erBKN7S3KX7Rm-HKWqUw&utm_source=whatsapp | album
5/27/22 11:09:20 AM | dave | https://open.spotify.com/album/5TfkVCMlvQNVN5ucSjBOMD?si=zq2LJUx6Se6LXseuufZJVQ | album
5/27/22 1:36:57 PM | rory | https://open.spotify.com/album/3rjAN1dI9I71XOaWoVCcAj?si=Xtl0NgGETeWhKPVwwPlVgQ&utm_source=whatsapp | album
5/30/22 8:48:58 AM | ferg | https://open.spotify.com/album/0Wvg685zYBk25DP08P13nQ?si=Z1btNefISQWlI5gk3wog_Q | album
6/4/22 4:30:40 PM | rory | https://open.spotify.com/album/1qwlxZTNLe1jq3b0iidlue?si=KSZnNC1RRLiOQkvaFM2OSw&utm_source=whatsapp | album
6/5/22 3:59:32 AM | dave | https://open.spotify.com/album/6s84u2TUpR3wdUv4NgKA2j?si=aa3WI3zSSuGEri6_LyKqwA | album
6/11/22 3:08:33 PM | dave | https://open.spotify.com/album/5So31JibrTO74WvuCozsAb?si=jQLV1ZatSUqttcUkktN6UA | album
6/11/22 3:12:24 PM | rory | https://open.spotify.com/album/0jwRUwgscsxLiDEnOPTqIp?si=kmbsMH7PSSSGi5urclLxbg&utm_source=whatsapp | album
6/11/22 6:04:30 PM | ferg | https://open.spotify.com/album/3PqowBonjatEu0P7g5AIHr?si=JH_sA70OQ_SG3CAf83s0WQ | album
6/11/22 6:10:22 PM | neil | https://open.spotify.com/album/1hX13VxqkUmPZjDdE68UTX?si=60Ejx3gwS0uL12fot_U2aw&utm_source=whatsapp | album
6/17/22 12:43:40 PM | ferg | https://open.spotify.com/album/6S6jg2LuEwGdo9iYMSwCBS?si=6KzOduzmTxCNxOQ_blFRlw | album
6/17/22 12:59:29 PM | dave | https://open.spotify.com/album/6AoWkAFBSNlX63z1fJVNIL?si=trehWJTPST2RiRHBx7_pSg | album
6/17/22 1:01:03 PM | rory | https://open.spotify.com/album/0Q9wQEB1q2C8uHMQhCMtGZ?si=-mWqWECGR863QFWDWXgj9Q&utm_source=whatsapp | album
6/17/22 1:30:37 PM | neil | https://open.spotify.com/album/3Dyqes0WX7jN0kSVwoOhKs?si=vVsCCfD6Qxa2WHn7oZtRZA&utm_source=whatsapp | album
6/24/22 2:25:51 PM | neil | https://open.spotify.com/album/7xCSZZQEnMSSpzTgWzrPhG?si=4XlsvLz2Tuuql92a7drKfw&utm_source=whatsapp | album
6/24/22 2:31:31 PM | rory | https://open.spotify.com/album/10nQ1u8Y1zlOb61zwZavDk?si=s48mBxReTQG5kBuy-bgVGw&utm_source=whatsapp | album
6/24/22 3:28:56 PM | dave | https://open.spotify.com/album/4mUj3vNn7onerWgbvzjjvh?si=fWk3g9T3R7-NisaCRnRHEw | album
6/28/22 4:18:24 AM | ferg | https://open.spotify.com/album/7ycBtnsMtyVbbwTfJwRjSP?si=wymh8yArQy-2F6h0K9IdUg | album
7/3/22 6:32:10 AM | rory | https://open.spotify.com/album/2vY03PfKPFUUM1FA2lgmC2?si=5icjIZm8Qwa_vBCt_jf8CQ&utm_source=whatsapp | album
7/3/22 7:22:53 AM | neil | https://open.spotify.com/album/29f2cOueckYE8Nc1pkJjrU?si=7kcPr0lIQiStwuqMnaN3zw&utm_source=whatsapp | album
7/4/22 3:17:42 PM | dave | https://open.spotify.com/album/5dUbfMC2mz6nB9mIZlTV4z?si=vKzpVRWbQ1meCGJlU6-nFQ | album
7/8/22 2:13:55 PM | neil | https://open.spotify.com/album/4zT6Jhdn5uKxmGFZsJvFE5?si=X8YsnIxeQjmHLdD3WgRPuQ&utm_source=whatsapp | album
7/8/22 4:03:55 PM | dave | https://open.spotify.com/album/2IQ6OI4Yt3yZtB8j5E2lsa?si=cugFVeTJShi21BZ4qf0pzw | album
7/8/22 4:38:19 PM | rory | https://open.spotify.com/album/1JYyYFJSYrXMHLe7Dz1B3W?si=A218oCfCRy29mTayCHCDoA&utm_source=whatsapp | album
7/11/22 5:54:19 AM | ferg | https://open.spotify.com/album/0MDXmSpXfdsTGAOsqACWfY?si=6_RyfOJ1Smm5YhKJk1nSOQ | album
7/15/22 9:31:15 AM | ferg | https://open.spotify.com/album/2mBbV0Ad6B4ydHMZlzAY7S?si=V2HY72e6RtWhTuaP5ST7tw | album
7/15/22 9:36:33 AM | neil | https://open.spotify.com/album/5blxyZRgkA735vO40p56MA?si=bn2gYVv7TtOYSMEk40Gvog&utm_source=whatsapp | album
7/15/22 11:31:52 AM | rory | https://open.spotify.com/album/2DSNJ8bdoYfC6Uydg8ilBC?si=HaMzyfDPTTWnGCOKxSIKCg&utm_source=whatsapp | album
7/15/22 7:27:16 PM | dave | https://open.spotify.com/album/1M1RCnRYJSJevH5VAIriyH?si=r6-4TGEBQlOViebb91yqcg | album
7/22/22 7:20:38 AM | neil | https://open.spotify.com/album/4HihJAJjF6hSVoh318zLu9?si=0Cd83YuuRLmQ7GRL2oze5Q&utm_source=whatsapp | album
7/22/22 12:56:48 PM | neil | https://open.spotify.com/album/4UPS9xWe3D9WkyR8rcZe8v?si=6U5uszQISWCmmgTyKN-GEA&utm_source=whatsapp | album
7/22/22 1:06:10 PM | rory | https://open.spotify.com/album/6DPdEaZ0KDBCCgXyy4q8bi?si=X5aBrVEKRg-PLOybty70Og&utm_source=whatsapp | album
7/22/22 1:16:26 PM | ferg | https://open.spotify.com/album/1CHUXwuge9A7L2KiA3vnR6?si=CVunpqHvS9uFH0k8lHMfUg | album
7/22/22 1:38:22 PM | dave | https://open.spotify.com/album/4MvRbM7CB8o7mxMyNkPOIh?si=tcSHIyD3QViixD5W3UtUSA | album
7/29/22 8:12:46 AM | rory | https://open.spotify.com/album/3mH6qwIy9crq0I9YQbOuDf?si=e_sQYPRvS0GnXZ0O7E-hFA&utm_source=whatsapp | album
7/29/22 8:25:29 AM | dave | https://open.spotify.com/album/3vPORpal5owIhYlS7lKrTa?si=lTfpXThETzmV3JqhPXnQlg | album
7/29/22 10:37:08 AM | neil | https://open.spotify.com/album/1vzqa9wcGcflSTyVbQPRFE?si=eMcxgyObT_i_q6_T6t0XPw&utm_source=whatsapp | album
8/1/22 5:18:08 AM | ferg | https://open.spotify.com/album/561g6g50IxDAHeS2LRMsp8?si=yyVaJ9XHRIa5kDI0mco3BA | album
8/5/22 8:30:18 AM | dave | https://open.spotify.com/album/76FXHQhTuT4QMIxfL09gX8?si=akznqgj0TlO71yS-2phh9A | album
8/5/22 1:34:29 PM | rory | https://open.spotify.com/album/5mzoI3VH0ZWk1pLFR6RoYy?si=sWboi1CNTd2iqineY__-Xw&utm_source=whatsapp | album
